characteristic,abr_hxz,name,name_new,time_to_create,lagged_denom,cite,variations,group,in-sample period,t-stat,p-value,direction,significance,controls,publication_year
age,Age,Firm age,Firm age,,,Jiang Lee and Zhang (2005),3.0,intangibles,1965 - 2001,-3.46,,-1.0,1.0,0.0,2005.0
aliq_at,Ala,Liquidity of book assets,Liquidity of book assets,,,Ortiz-Molina and Phillips (2014),1.0,intangibles,1984 - 2006,,,-1.0,0.0,,2014.0
aliq_mat,Alm,Liquidity of market assets,Liquidity of market assets,,,Ortiz-Molina and Phillips (2014),1.0,intangibles,1984 - 2006,,,-1.0,0.0,,2014.0
ami_126d,Ami,Absolute return-to-volume,Amihud Measure,,,Amihud (2002),3.0,trading_frictions,1964 - 1997,5.39,,1.0,1.0,1.0,2002.0
at_be,Bl,Book leverage,Book leverage,,,Fama and French (1992),1.0,profitability,1963 - 1990,-4.45,,-1.0,0.0,2.0,1992.0
at_gr1,I/A,Investment-to-assets,Asset Growth,,,Cooper Gulen and Schill (2008),1.0,investment,1968 - 2003,-5.04,,-1.0,1.0,0.0,2008.0
at_me,Am,Assets-to-market,Assets-to-market,,,Fama and French (1992),1.0,value,1963 - 1990,4.28,,1.0,0.0,2.0,1992.0
at_turnover,Cto,Capital turnover,Capital turnover,,1.0,Haugen and Baker (1996),1.0,profitability,1979 - 1993,,,1.0,0.0,0.0,1996.0
be_gr1a,dBe,Change in common equity,Change in common equity,,,Richardson et al. (2005),1.0,investment,1962 - 2001,-6.25,,-1.0,1.0,2.0,2005.0
be_me,Bm,Book-to-market equity,Book-to-market equity,,,Rosenberg Reid and Lanstein (1985),1.0,value,1973 - 1984,,,1.0,1.0,0.0,1985.0
beta_60m,Î²,The market beta,Market Beta,,,Fama and MacBeth (1973),3.0,trading_frictions,1935 - 1968,1.85,,-1.0,1.0,0.0,1973.0
beta_dimson_21d,Î²D,The Dimson beta,Dimson beta,,,Dimson (1979),3.0,trading_frictions,1955 - 1974,,,-1.0,0.0,0.0,1979.0
betabab_1260d,Î²FP,The Frazzini-Pedersen beta,Frazzini-Pedersen market beta,,,Frazzini and Pedersen (2014),3.0,trading_frictions,1926 - 2012,7.12,,-1.0,1.0,0.0,2014.0
betadown_252d,Î²âˆ’,Downside beta,Downside beta,,,Ang Chen and Xing (2006),3.0,trading_frictions,1963 - 2001,5.25,,-1.0,1.0,2.0,2006.0
bev_mev,Ebp,Enterprise book-to-price,Book-to-market enterprise value,,,Penman Richardson and Tuna (2007),1.0,value,1962 - 2001,4.2,,1.0,1.0,1.0,2007.0
bidaskhl_21d,Shl,The high-low bid-ask spread,The high-low bid-ask spread,,,Corwin and Schultz (2012),3.0,trading_frictions,1927 - 2006,12.78,,1.0,1.0,0.0,2012.0
capex_abn,Aci,Abnormal corporate investment,Abnormal corporate investment,,,Titman Wei and Xie (2004),1.0,investment,1973 - 1996,-2.76,<5%,-1.0,1.0,2.0,2004.0
capx_gr1,Ig,Investment growth,CAPEX growth (1 year),,,Xie (2001),1.0,investment,1971-1992,,,-1.0,0.0,0.0,2001.0
capx_gr2,2Ig,2-year investment growth,CAPEX growth (2 years),,,Anderson and Garcia-Feijoo (2006),1.0,investment,1976 - 1998,-5.51,,-1.0,1.0,1.0,2006.0
capx_gr3,3Ig,3-year investment growth,CAPEX growth (3 years),,,Anderson and Garcia-Feijoo (2006),1.0,investment,1976 - 1998,-5.34,,-1.0,1.0,1.0,2006.0
cash_at,Cta,Cash-to-assets,Cash-to-assets,,,Palazzo (2012),3.0,intangibles,1972 - 2009,"min: 1.66, max: 2.87",,1.0,0.0,0.0,2012.0
chcsho_12m,Nsi,Net stock issues,Net stock issues,,,Pontiff and Woodgate (2008),1.0,investment,1970 - 2003,-6.72,,-1.0,1.0,2.0,2008.0
coa_gr1a,dCoa,Change in current operating assets,Change in current operating assets,,,Richardson et al. (2005),1.0,investment,1962 - 2001,-8.71,,-1.0,1.0,2.0,2005.0
