rank,mean_share_of_training_trace
1,0.18332512996102238
2,0.13165908503152193
3,0.08143511871078611
4,0.059912202362213535
5,0.04798520523898583
6,0.04115567399133725
7,0.036946494684289934
8,0.030427020318567647
9,0.027054934431489912
10,0.02425041343704235
11,0.02215373202469616
12,0.020250385713870275
13,0.017109566785351568
14,0.015545209814941903
15,0.013749272077465147
16,0.01270417887062186
17,0.011611585831059727
18,0.010889466978707074
19,0.010095447632375895
20,0.009409862787277224
21,0.008769161416963784
22,0.008307131276566645
23,0.007772160926047096
24,0.00729559782476988
25,0.006907741866092441
26,0.006488295010637215
27,0.006082233828905946
28,0.005701075473658417
29,0.0053462822651255916
30,0.005076743957661525
31,0.004854126166099147
32,0.004616515089643545
33,0.004358418825885166
34,0.004142513585199292
35,0.003964113144103366
36,0.0037957808829261657
37,0.0036353507518610832
38,0.0035064741415422465
39,0.0033855341442509453
40,0.003269564146371961
41,0.003159467934148551
42,0.0030321859117277473
43,0.002910507134436096
44,0.0028003130326629388
45,0.002684079483138875
46,0.002565050307364961
47,0.002464349405701711
48,0.00237945917739116
49,0.0022800704362063978
50,0.002193011707379629
51,0.0021142308548156093
52,0.002044151175608163
53,0.0019756010897726815
54,0.0019084166334594616
55,0.0018458885339892438
56,0.0017823465238798822
57,0.0017228943811764257
58,0.001667829118110643
59,0.0016095102002867407
60,0.001557820422357274
61,0.0015073305457995656
62,0.0014616824820645354
63,0.0014173690672167354
64,0.0013732562810884314
65,0.0013329758181360595
66,0.0012924445632165492
67,0.0012548795771322515
68,0.00121496152360155
69,0.0011744304185616354
70,0.0011366460358653583
71,0.001104292246637629
72,0.0010705852711167657
73,0.0010331877415522717
74,0.0010014463425218134
75,0.0009681429121377039
76,0.000935160344424081
77,0.0009052907073104611
78,0.0008772451800582407
79,0.0008494007259373556
80,0.0008223716354914466
81,0.0007967387697880666
82,0.0007698132818781619
83,0.0007464360806336135
84,0.0007239581797753829
85,0.0007032031584753292
86,0.0006803982680132625
87,0.0006600148931634913
88,0.0006374171922798853
89,0.0006140264129001531
90,0.0005950191850588234
91,0.0005764843314300816
92,0.0005571684851629976
93,0.0005402525424812815
94,0.000523757546992018
95,0.000505233445234429
96,0.0004892102728438192
97,0.0004720770154508503
98,0.00045621443524790497
99,0.0004416988939726313
100,0.0004274108456857521
101,0.0004136396485440322
102,0.0003992969199478964
103,0.0003847747965312965
104,0.0003730871600888988
105,0.0003593187977563267
106,0.00034518935554903133
107,0.00033026967779965284
108,0.00031891030974839923
109,0.00030577707661024183
110,0.0002930519034264565
111,0.00028204001727866933
112,0.00026902988935567347
113,0.00025661265266191846
114,0.00024286325977199998
115,0.00022916168552667156
116,0.0002164864755637125
117,0.00019871185701654943
118,0.00018236698073240842
119,0.0001606724870543968
120,0.00014712152114795254
