comparison,block,delta_sr,lo,hi
matern_full minus constant_full,6,-0.5449210890186602,-1.0073476101429109,-0.06105934620972158
matern_full minus constant_full,12,-0.5449210890186602,-1.024456370616585,-0.0493241998533266
matern_full minus constant_full,24,-0.5449210890186602,-1.0093527681259717,-0.06583437690673649
matern_full minus linear_full,6,0.08205513684153765,-0.19949298598734685,0.36331824918430644
matern_full minus linear_full,12,0.08205513684153765,-0.15941498357787542,0.37650822949413537
matern_full minus linear_full,24,0.08205513684153765,-0.18913670288902995,0.3869420587660594
matern_full minus rbf_full,6,0.22276605994830373,-0.14216083328295726,0.6523416973261293
matern_full minus rbf_full,12,0.22276605994830373,-0.2092660236263306,0.6837812087003535
matern_full minus rbf_full,24,0.22276605994830373,-0.20441503887095416,0.7074192256963612
matern_full minus equal_allocation,6,0.23291847798056842,-0.3368164117692958,0.8927979302496446
matern_full minus equal_allocation,12,0.23291847798056842,-0.39435800268939775,0.9412632019550303
matern_full minus equal_allocation,24,0.23291847798056842,-0.40333607078546746,0.9408009230387445
