model,n_characteristics,n_state,window,selected_budget,validation_sharpe,n_months,sharpe,mean,volatility,ce_gamma5,max_drawdown,mean_complexity,mean_lambda,native_loss,monthly_sleeve_reallocation,mean_sleeve_gross
matern_full,153,14,120,48.0,0.6720283593530083,252,0.6983418032066886,0.0417967313883161,0.05985139540034881,0.032841257559893866,-0.15325244971047214,48.0,0.00043824045008231826,0.9457389974428919,0.6973074923487576,2.895959489484643
constant_full,153,14,120,24.0,3.1315794234040117,252,1.2432628922253488,0.03100727064204365,0.02494023656295486,0.029452232142503275,-0.03898216465013349,24.0,0.00039148249965075276,0.8894329145333286,0.2925600566413517,3.0
linear_full,153,14,120,16.0,2.140163878656031,252,0.616286666365151,0.043013875162554255,0.06979523898553479,0.030835436699934465,-0.14743404285629136,16.0,0.015635230744226854,0.9988052416387012,0.5692939601113958,2.8280466269636984
rbf_full,153,14,120,0.5,0.5868227742696418,252,0.47557574325838486,0.04997831552897786,0.10509012757159096,0.022368478246444695,-0.19211833106213927,0.5,0.2993791459367871,0.9971460828084314,0.507316464431477,2.394407668745267
matern_loss_selected,153,14,120,64.0,0.6588751333534308,252,0.7100435037317416,0.036913105453060785,0.05198710397188108,0.03015645800460285,-0.14727120039179165,64.0,0.00019382700579179176,0.9601358698501693,0.7006677633452586,2.9327997568033837
equal_allocation,153,0,120,,0.6744266332671818,252,0.4654233252261202,0.033089623196736515,0.07109575606392379,0.02045310687098412,-0.2562725267391559,,,,0.0053831258889638495,
drop_sleeves_intangibles,123,14,120,2.0,0.6673087431685554,252,0.5101808042457726,0.053362452122486935,0.10459517817683375,0.026012073877877934,-0.16755077272011054,2.0,0.05695275827762797,0.9918284842921677,0.5390633316614571,2.3355425193846986
drop_sleeves_investment,121,14,120,48.0,0.6729190190107256,252,0.661693567590408,0.04270584978579747,0.06454022205673401,0.03229224912796613,-0.1835925441478805,48.0,0.00038328333746516697,0.9547212714373826,0.7018278460183892,2.8337918694660034
drop_sleeves_momentum,144,14,120,48.0,0.6529692014198433,252,0.708737188607209,0.041771506015685585,0.05893793452234926,0.033087305701283765,-0.1498394348752652,48.0,0.00040667310243115815,0.9401934947834554,0.6990674825431645,2.910760878373337
drop_sleeves_new,138,14,120,48.0,0.6756119605314825,252,0.7021079843744793,0.041003896142455074,0.0584011249765037,0.032477167646152064,-0.14681413441745184,48.0,0.00038683574926101844,0.9419040858333708,0.6884294983971666,2.906779640997519
drop_sleeves_profitability,131,14,120,48.0,0.6994334160275344,252,0.6597249387911926,0.04009183711428955,0.060770534440837444,0.030859192473727023,-0.14922416531145832,48.0,0.00038675618233064725,0.95571283355787,0.7040391207768575,2.900404854892687
