characteristic,calibration_complete,calibration_nonconstant,eligible
age,True,True,True
aliq_at,True,True,True
aliq_mat,True,True,True
ami_126d,True,True,True
at_be,True,True,True
at_gr1,True,True,True
at_me,True,True,True
at_turnover,True,True,True
be_gr1a,True,True,True
be_me,True,True,True
beta_60m,True,True,True
beta_dimson_21d,True,True,True
betabab_1260d,True,True,True
betadown_252d,True,True,True
bev_mev,True,True,True
bidaskhl_21d,True,True,True
capex_abn,True,True,True
capx_gr1,True,True,True
capx_gr2,True,True,True
capx_gr3,True,True,True
cash_at,True,True,True
chcsho_12m,True,True,True
coa_gr1a,True,True,True
col_gr1a,True,True,True
cop_at,True,True,True
cop_atl1,True,True,True
corr_1260d,True,True,True
coskew_21d,True,True,True
cowc_gr1a,True,True,True
dbnetis_at,True,True,True
debt_gr3,True,True,True
debt_me,True,True,True
dgp_dsale,True,True,True
div12m_me,True,True,True
dolvol_126d,True,True,True
dolvol_var_126d,True,True,True
dsale_dinv,True,True,True
dsale_drec,True,True,True
dsale_dsga,True,True,True
earnings_variability,True,True,True
ebit_bev,True,True,True
ebit_sale,True,True,True
ebitda_mev,True,True,True
emp_gr1,True,True,True
eq_dur,True,True,True
eqnetis_at,True,True,True
eqnpo_12m,True,True,True
eqnpo_me,True,True,True
eqpo_me,True,True,True
f_score,True,True,True
fcf_me,True,True,True
fnl_gr1a,True,True,True
gp_at,True,True,True
gp_atl1,True,True,True
inv_gr1,True,True,True
inv_gr1a,True,True,True
iskew_capm_21d,True,True,True
iskew_ff3_21d,True,True,True
iskew_hxz4_21d,True,True,True
ival_me,True,True,True
ivol_capm_21d,True,True,True
ivol_capm_252d,True,True,True
ivol_ff3_21d,True,True,True
ivol_hxz4_21d,True,True,True
kz_index,True,True,True
lnoa_gr1a,True,True,True
lti_gr1a,True,True,True
market_equity,True,True,True
mispricing_mgmt,True,True,True
mispricing_perf,True,True,True
ncoa_gr1a,True,True,True
ncol_gr1a,True,True,True
netdebt_me,True,True,True
netis_at,True,True,True
nfna_gr1a,True,True,True
ni_ar1,True,True,True
ni_be,True,True,True
ni_inc8q,True,True,True
ni_ivol,True,True,True
ni_me,True,True,True
niq_at,True,True,True
niq_at_chg1,True,True,True
niq_be,True,True,True
niq_be_chg1,True,True,True
niq_su,True,True,True
nncoa_gr1a,True,True,True
noa_at,True,True,True
noa_gr1a,True,True,True
o_score,True,True,True
oaccruals_at,True,True,True
oaccruals_ni,True,True,True
ocf_at,True,True,True
ocf_at_chg1,True,True,True
ocf_me,True,True,True
ocfq_saleq_std,True,True,True
op_at,True,True,True
op_atl1,True,True,True
ope_be,True,True,True
ope_bel1,True,True,True
opex_at,True,True,True
pi_nix,True,True,True
ppeinv_gr1a,True,True,True
prc,True,True,True
prc_highprc_252d,True,True,True
qmj,True,True,True
qmj_growth,True,True,True
qmj_prof,True,True,True
qmj_safety,True,True,True
rd5_at,True,True,True
rd_me,True,True,True
rd_sale,True,True,True
resff3_12_1,True,True,True
resff3_6_1,True,True,True
ret_12_1,True,True,True
ret_12_7,True,True,True
ret_1_0,True,True,True
ret_3_1,True,True,True
ret_60_12,True,True,True
ret_6_1,True,True,True
ret_9_1,True,True,True
rmax1_21d,True,True,True
rmax5_21d,True,True,True
rmax5_rvol_21d,True,True,True
rskew_21d,True,True,True
rvol_21d,True,True,True
sale_bev,True,True,True
sale_emp_gr1,True,True,True
sale_gr1,True,True,True
sale_gr3,True,True,True
sale_me,True,True,True
saleq_gr1,True,True,True
saleq_su,True,True,True
seas_11_15an,True,True,True
seas_11_15na,True,True,True
seas_16_20an,True,True,True
seas_16_20na,True,True,True
seas_1_1an,True,True,True
seas_1_1na,True,True,True
seas_2_5an,True,True,True
seas_2_5na,True,True,True
seas_6_10an,True,True,True
seas_6_10na,True,True,True
sti_gr1a,True,True,True
taccruals_at,True,True,True
taccruals_ni,True,True,True
tangibility,True,True,True
tax_gr1a,True,True,True
turnover_126d,True,True,True
turnover_var_126d,True,True,True
z_score,True,True,True
zero_trades_126d,True,True,True
zero_trades_21d,True,True,True
zero_trades_252d,True,True,True
