dataset,first,last,months
world_market_vwcap,1985-11-30,2025-12-31,482
world_ex_us_market_vwcap,1991-05-31,2025-12-31,416
developed_market_vwcap,1991-05-31,2025-12-31,416
emerging_market_vwcap,2002-08-31,2025-12-31,281
usa_market_vwcap,1962-05-31,2025-12-31,764
gbr_market_vwcap,1987-01-31,2025-12-31,468
jpn_market_vwcap,1987-01-31,2025-12-31,468
can_market_vwcap,1984-07-31,2025-12-31,498
aus_market_vwcap,2004-05-31,2025-12-31,260
deu_market_vwcap,1992-05-31,2025-12-31,404
fra_market_vwcap,1992-05-31,2025-12-31,404
che_market_vwcap,1993-10-31,2025-12-31,387
hkg_market_vwcap,2002-05-31,2025-12-31,284
nld_market_vwcap,2003-05-31,2025-12-31,272
swe_market_vwcap,1997-09-30,2025-12-31,340
ind_market_vwcap,2004-08-31,2025-12-31,257
