dataset,first,last,months
world_vwcap,1962-05-31,2025-12-31,764
world_ex_us_vwcap,1991-05-31,2025-12-31,416
developed_vwcap,1991-05-31,2025-12-31,416
emerging_vwcap,2002-08-31,2025-12-31,281
usa_vwcap,1962-05-31,2025-12-31,764
gbr_vwcap,1987-01-31,2025-12-31,468
jpn_vwcap,1987-01-31,2025-12-31,468
can_vwcap,1984-07-31,2025-12-31,498
aus_vwcap,2004-05-31,2025-12-31,260
deu_vwcap,1992-05-31,2025-12-31,404
fra_vwcap,1992-05-31,2025-12-31,404
che_vwcap,1993-10-31,2025-12-31,387
hkg_vwcap,2002-05-31,2025-12-31,284
nld_vwcap,2003-05-31,2025-12-31,272
swe_vwcap,1997-09-30,2025-12-31,340
ind_vwcap,2004-08-31,2025-12-31,257
usa_vw,1962-05-31,2025-12-31,764
usa_ew,1962-05-31,2025-12-31,764
