factor,role
market_equity,baseline
be_me,baseline
ret_12_1,baseline
at_be,extension
at_me,extension
at_turnover,extension
beta_dimson_21d,extension
coskew_21d,extension
debt_me,extension
dgp_dsale,extension
div12m_me,extension
dsale_dinv,extension
dsale_drec,extension
dsale_dsga,extension
eq_dur,extension
f_score,extension
inv_gr1a,extension
ival_me,extension
ivol_capm_252d,extension
kz_index,extension
ni_be,extension
ni_me,extension
noa_at,extension
noa_gr1a,extension
o_score,extension
oaccruals_at,extension
ocf_me,extension
pi_nix,extension
prc,extension
prc_highprc_252d,extension
rd_me,extension
rd_sale,extension
ret_1_0,extension
ret_3_1,extension
ret_6_1,extension
ret_9_1,extension
sale_gr1,extension
sale_gr3,extension
sale_me,extension
z_score,extension
