year,window,admitted,lower_bound,selected_C_extra
2005,60,baseline,-0.11135153973519288,0.0
2006,60,value,0.010852632879878504,8.0
2007,60,baseline,-0.054829293511711286,0.0
2008,60,baseline,-0.05141078887120684,0.0
2009,60,baseline,-0.15565384472035754,0.0
2010,60,baseline,-0.08486300049826492,0.0
2011,60,baseline,-0.2284910441358973,0.0
2012,60,baseline,-0.2129137305812674,0.0
2013,60,baseline,-0.1822035619711582,0.0
2014,60,value,0.019072741033454577,4.0
2015,60,value,0.020793774867705048,4.0
2016,60,value,0.04881260320527979,4.0
2017,60,baseline,-0.008879885632486512,0.0
2018,60,baseline,-0.01832500219900217,0.0
2019,60,investment,0.0019850931263867,4.0
2020,60,baseline,-0.04293728861054244,0.0
2021,60,baseline,-0.14536937893153123,0.0
2022,60,baseline,-0.10629526723959842,0.0
2023,60,baseline,-0.05299454990042177,0.0
2024,60,baseline,-0.1822065030655305,0.0
2025,60,baseline,-0.14208590024305554,0.0
2005,120,all_extensions,0.02432357425992837,8.0
2006,120,value,0.007734970755596093,8.0
2007,120,baseline,-0.08969625575355755,0.0
2008,120,baseline,-0.05898279930790268,0.0
2009,120,baseline,-0.06493288383924482,0.0
2010,120,baseline,-0.052209964424100364,0.0
2011,120,baseline,-0.16533234174302083,0.0
2012,120,baseline,-0.15340400292503326,0.0
2013,120,baseline,-0.14871806057386605,0.0
2014,120,value,0.031569581066914404,4.0
2015,120,value,0.04368839428899764,4.0
2016,120,value,0.0656472114207739,4.0
2017,120,baseline,-0.005000065582001889,0.0
2018,120,baseline,-0.0064253547464938054,0.0
2019,120,baseline,-0.02354029960813031,0.0
2020,120,baseline,-0.153365353895208,0.0
2021,120,baseline,-0.3431700072630407,0.0
2022,120,baseline,-0.11495748390906382,0.0
2023,120,baseline,-0.10529634886579414,0.0
2024,120,baseline,-0.10801666129778717,0.0
2025,120,baseline,-0.06134877232809803,0.0
2005,240,baseline,-0.06507845475231866,0.0
2006,240,value,0.09361514615248395,8.0
2007,240,baseline,-0.04159984179922008,0.0
2008,240,baseline,-0.04772748315727868,0.0
2009,240,baseline,-0.03928560740196299,0.0
2010,240,baseline,-0.03425033041284814,0.0
2011,240,baseline,-0.22645726253329265,0.0
2012,240,baseline,-0.2137535019721633,0.0
2013,240,baseline,-0.20764037213742667,0.0
2014,240,baseline,-0.023641128989452337,0.0
2015,240,value,0.002773397704338404,8.0
2016,240,value,0.07911043349278152,4.0
2017,240,all_extensions,0.04056260338265759,16.0
2018,240,all_extensions,0.02974873868121025,8.0
2019,240,baseline,-0.04026414629104769,0.0
2020,240,baseline,-0.10848699744143567,0.0
2021,240,baseline,-0.1892086021022938,0.0
2022,240,baseline,-0.04132758455997186,0.0
2023,240,baseline,-0.12502884449484852,0.0
2024,240,baseline,-0.08160878654845762,0.0
2025,240,baseline,-0.005577765371871657,0.0
