window,model,sharpe,delta_sharpe,loss_gain,mean_C
120,value,0.913911994246697,0.4721386331618448,0.050787828091274245,10.464761904761904
120,investment,0.6881520163887443,0.24637865530389214,0.03495281585536133,6.360952380952381
120,momentum,0.430753382504728,-0.011019978580124212,-0.023757013760777376,5.429523809523809
120,all_extensions,0.9814714599366544,0.5396980988518022,0.06459951058627833,18.095238095238095
120,baseline,0.4417733610848522,0.0,0.0,4.0
240,value,1.0332517791283755,0.7007382458088849,0.08508246605905716,11.977142857142857
240,investment,0.6026113011503733,0.27009776783088274,0.034629764634298676,6.207619047619048
240,momentum,0.41226320467322203,0.07974967135373145,0.004178704249956203,5.695238095238095
240,all_extensions,1.067695568407781,0.7351820350882903,0.0830180809538118,25.714285714285715
240,baseline,0.3325135333194906,0.0,0.0,4.0
