year,window,group,tune_end,confirmation_end,selected_grid_C_extra,training_total_C,confirmation_loss_gain,simultaneous_lower_bound
2005,60,intangibles,1999-12-31,2004-12-31,4.0,7.0,0.13174320985882332,-0.20191515994783343
2005,60,investment,1999-12-31,2004-12-31,2.0,5.0,0.08648964247380588,-0.2471687273328509
2005,60,momentum,1999-12-31,2004-12-31,1.0,4.0,-0.003838556402115314,-0.33749692620877214
2005,60,new,1999-12-31,2004-12-31,0.5,3.5,0.01410324114505556,-0.31955512866160124
2005,60,profitability,1999-12-31,2004-12-31,1.0,4.0,0.05690267425141774,-0.27675569555523905
2005,60,trading_frictions,1999-12-31,2004-12-31,2.0,5.0,-0.009910031713327432,-0.34356840151998425
2005,60,value,1999-12-31,2004-12-31,16.0,14.759999999999998,0.05003616816657185,-0.28362220164008495
2005,60,all_extensions,1999-12-31,2004-12-31,4.0,7.0,0.22230683007146393,-0.11135153973519288
2006,60,intangibles,2000-12-31,2005-12-31,4.0,7.0,0.09216423268338883,-0.1516765251151917
2006,60,investment,2000-12-31,2005-12-31,1.0,4.0,0.07956956908832995,-0.1642711887102506
2006,60,momentum,2000-12-31,2005-12-31,0.5,3.5,0.0030077697298325537,-0.24083298806874798
2006,60,new,2000-12-31,2005-12-31,0.5,3.5,-0.013969162248454767,-0.2578099200470353
2006,60,profitability,2000-12-31,2005-12-31,2.0,5.0,0.04818365755245058,-0.19565710024612995
2006,60,trading_frictions,2000-12-31,2005-12-31,1.0,4.0,0.02648770041269317,-0.21735305738588737
2006,60,value,2000-12-31,2005-12-31,8.0,11.0,0.2546933906784591,0.010852632879878504
2006,60,all_extensions,2000-12-31,2005-12-31,4.0,7.0,0.1837585255016547,-0.06008223229692586
2007,60,intangibles,2001-12-31,2006-12-31,4.0,7.0,-0.04092829875009215,-0.194547855336242
2007,60,investment,2001-12-31,2006-12-31,2.0,5.0,-0.02632473265304956,-0.17994428923919942
2007,60,momentum,2001-12-31,2006-12-31,0.5,3.5,0.0004608129084983555,-0.15315874367765148
2007,60,new,2001-12-31,2006-12-31,0.5,3.5,-0.004271165859913105,-0.15789072244606295
2007,60,profitability,2001-12-31,2006-12-31,2.0,5.0,-0.0020282334676961955,-0.15564779005384602
2007,60,trading_frictions,2001-12-31,2006-12-31,1.0,4.0,0.02699105491012098,-0.12662850167602885
2007,60,value,2001-12-31,2006-12-31,8.0,11.0,0.09879026307443856,-0.054829293511711286
2007,60,all_extensions,2001-12-31,2006-12-31,8.0,11.0,0.08474355750759846,-0.06887599907855134
2008,60,intangibles,2002-12-31,2007-12-31,4.0,7.0,0.07584224295435481,-0.0872737178481847
2008,60,investment,2002-12-31,2007-12-31,2.0,5.0,0.022645126169226502,-0.140470834633313
2008,60,momentum,2002-12-31,2007-12-31,0.0,3.0,-1.1102230246251566e-17,-0.1631159608025395
2008,60,new,2002-12-31,2007-12-31,0.0,3.0,-1.1102230246251566e-17,-0.1631159608025395
2008,60,profitability,2002-12-31,2007-12-31,2.0,5.0,-0.0363575085076373,-0.1994734693101768
2008,60,trading_frictions,2002-12-31,2007-12-31,1.0,4.0,0.0365782132665068,-0.1265377475360327
2008,60,value,2002-12-31,2007-12-31,8.0,11.0,-0.0002906082609238451,-0.16340656906346335
