T,signal,selected_C,population_SR,incremental_Q_recovery,delta_SR,probability_positive,recovery_se
60,leading,5.175,0.5640491711245041,0.20975081042634144,0.11316689691063249,0.66,0.021521441223706368
60,trailing,4.16375,0.4424855449901137,-0.15956177198440347,-0.008396729223758025,0.0725,0.023782377188777837
120,leading,6.8,0.6901397930482761,0.29225470925429536,0.13637783322359437,0.7425,0.020400818911205862
120,trailing,5.675,0.5340653170674163,-0.2173672237678066,-0.01969664275726548,0.0325,0.02319610205903167
240,leading,8.705,0.78042015325571,0.39874357517210746,0.15860822997650265,0.8375,0.020938230278214835
240,trailing,9.715,0.6087319317575092,-0.27202569875691046,-0.013079991521698085,0.05,0.024361832151298262
480,leading,10.25,0.8571202450824355,0.5648755299401155,0.19418891659915555,0.925,0.014461930884944518
480,trailing,13.31,0.6991089573271054,-0.0322559985713248,0.03617762884382553,0.2575,0.010434196753973736
960,leading,12.4125,0.9013330217888109,0.6809239864763934,0.22026818761397352,0.9625,0.012019161581425125
960,trailing,18.465,0.7951774784402283,0.3035709023619439,0.11411264426539089,0.74,0.011966129171334345
